"Query language","Handle","Query","R","Unique sessions","Clicked documents","Docid","Inferred relevance","Doc clicks"
"ro","nicaragua","nicaragua",38.4,5,192,"/2022067/10796_63D287F7_9788_4AC5_8016_E4FD092A2E5F",0.0140144164505,3.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022026/11088_37E2CF8C_044E_4785_B9DA_ABC97ECBDF91",0.0140086022623,3.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001027850",0.00934562338699,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001004222",0.00934556638515,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001004065",0.00934556638515,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001027660",0.0093455093833,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001237004",0.00934539537961,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001001210",0.00934533837777,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022067/10796_C567C6D9_7C39_4160_B9B4_4FE4C0D4B287",0.00934533837777,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001001020",0.00934528137592,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001755971",0.00934522437408,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001838447",0.00934522437408,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022067/10796_3164674D_E8F8_4ACC_A2DF_ABC80778DE26",0.00934488236301,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022067/10796_24CC8091_F2B7_4198_95AD_7DB8B3912455",0.00934220327633,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022026/11088_8304E99B_D73D_4413_AC02_E4E127314A5F",0.00934197526895,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022026/11088_F78F28D5_30E6_420B_9C82_EEF351A89361",0.00933963819333,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/91943/E185E4412F7407ED834DB924D0CAB48F75415003",0.0093389541712,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/91943/D4561ABC2260A097FC0A151CE704F2F15A05CB21",0.00933832715091,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022026/11088_A4D45799_AA2B_4570_82D9_D22EA3AC8679",0.00933809914354,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022026/11088_C3FE389B_5564_400E_AC0C_AD4FF7B63FB5",0.00932869383922,2.0
"ro","nicaragua","nicaragua",38.4,5,192,"/9200365/BibliographicResource_2000092777074",0.00467286869534,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001004271",0.00467284019442,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022703/oai_euromuseos_mcu_es_euromuseos_MNA_FD1371",0.00467284019442,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001838454",0.0046728116935,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022026/11088_B7A845AB_B57D_4EAA_938C_D039313ACB80",0.00467278319257,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001838504",0.00467278319257,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051002837836",0.00467278319257,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022026/11088_18CE6D34_4D26_4E82_87FF_F7A72DFA9848",0.00467278319257,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001838736",0.00467275469165,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022067/10796_3CA78776_CD12_47AF_8A7C_34041306B8AC",0.00467275469165,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022070/10848_1823B0D3_E6D2_40E9_9F6F_1087630836A5",0.00467275469165,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022026/11088_484A31DE_DBC9_4037_8A46_0BDA8325D797",0.00467275469165,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001838645",0.00467275469165,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001001087",0.00467275469165,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/09428/objekt_start_fau_prj_ffbiz_dm_1_zeig_2845",0.00467275469165,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001843918",0.00467275469165,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001000865",0.00467272619073,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001001228",0.00467272619073,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001001194",0.00467272619073,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/92034/GVNRC_NAGO02_IISG_30051001838538",0.00467272619073,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2048011/Athena_Plus_ProvidedCHO_CulturaItaliaInternet_Culturale___biblioteca_nazionale_centrale___firenze_oai_www_internetculturale_it_metaoaicat_oai_bncf_firenze_sbn_it_21_FI0098_Arsbni2_IEI0111888",0.00467272619073,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022067/10796_413C1534_8F11_4A5F_9CB6_986850763B71",0.00467272619073,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/2022026/11088_CB9A81DB_0F0F_4413_BE66_4E96FDF02150",0.00467272619073,1.0
"ro","nicaragua","nicaragua",38.4,5,192,"/09428/objekt_start_fau_prj_ffbiz_dm_1_zeig_3715",0.00467272619073,1.0
